               SKB    CPU          PROCESS                     FUNC        TIMESTAMP
0xffff9f5f0ac5d000      3           [ping]             kfree_skbmem    1025562884535 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]           __ip_local_out    1026589139223 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                ip_output    1026589174858 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]             nf_hook_slow    1026589184086 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]  apparmor_ipv4_postroute    1026589193626 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         ip_finish_output    1026589205193 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping] __cgroup_bpf_run_filter_skb    1026589215326 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       __ip_finish_output    1026589225785 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        ip_finish_output2    1026589238356 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]           dev_queue_xmit    1026589249480 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         __dev_queue_xmit    1026589256902 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       qdisc_pkt_len_init    1026589266429 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      netdev_core_pick_tx    1026589277454 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        validate_xmit_skb    1026589287287 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       netif_skb_features    1026589294536 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]  passthru_features_check    1026589304501 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     skb_network_protocol    1026589313401 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       validate_xmit_vlan    1026589320970 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       validate_xmit_xfrm    1026589331631 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      dev_hard_start_xmit    1026589339013 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]   skb_clone_tx_timestamp    1026589348297 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        __dev_forward_skb    1026589356310 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       __dev_forward_skb2    1026589363287 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         skb_scrub_packet    1026589371526 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]           eth_type_trans    1026589380950 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                 netif_rx    1026589390825 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        netif_rx_internal    1026589398429 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       enqueue_to_backlog    1026589408371 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      __netif_receive_skb    1026589418374 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping] __netif_receive_skb_one_core    1026589426117 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         pskb_expand_head    1026589434422 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]            skb_free_head    1026589443325 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping] bpf_prog_run_generic_xdp    1026589452132 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                 skb_push    1026589470769 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]           dev_queue_xmit    1026589479167 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]         __dev_queue_xmit    1026589485950 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       qdisc_pkt_len_init    1026589493167 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]      netdev_core_pick_tx    1026589500774 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]        validate_xmit_skb    1026589508464 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       netif_skb_features    1026589515091 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]  passthru_features_check    1026589522492 10.10.0.10:0->10.10.0.20:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     skb_network_protocol    1026589529681 10.10.0.10:0->10.10.0.20:0(icmp)
